17:18:11.924 [pool-2-thread-10] INFO  mylog - pool-2-thread-10---下载北京湖园养殖专业合作社第一页文档!
17:18:11.945 [pool-2-thread-10] INFO  mylog - pool-2-thread-10处理企业----北京湖园养殖专业合作社成功!
17:18:11.946 [pool-2-thread-10] INFO  mylog - pool-2-thread-10正在处理企业----北京市鹤鹤旅馆
17:18:11.946 [pool-2-thread-10] INFO  mylog - 爬取的申请人名称---北京市鹤鹤旅馆
17:18:11.967 [pool-2-thread-10] INFO  mylog - 北京市鹤鹤旅馆---登录账户名:18810412927
17:18:11.967 [pool-2-thread-10] INFO  mylog - 北京市鹤鹤旅馆---账户密码:yyz2016...
17:18:12.233 [pool-2-thread-1] INFO  mylog - pool-2-thread-1处理企业----北京灵动三方科技有限公司成功!
17:18:12.233 [pool-2-thread-1] INFO  mylog - pool-2-thread-1正在处理企业----北京港佳好邻居连锁便利店有限责任公司西什库分店
17:18:12.233 [pool-2-thread-1] INFO  mylog - 爬取的申请人名称---北京港佳好邻居连锁便利店有限责任公司西什库分店
17:18:12.280 [pool-2-thread-1] INFO  mylog - 北京港佳好邻居连锁便利店有限责任公司西什库分店---登录账户名:15244665829 
17:18:12.280 [pool-2-thread-1] INFO  mylog - 北京港佳好邻居连锁便利店有限责任公司西什库分店---账户密码:314159265358
17:18:12.834 [pool-2-thread-8] INFO  mylog - pool-2-thread-8---下载北京广慧精研泡沫混凝土科技有限责任公司第一页文档!
17:18:13.108 [pool-2-thread-2] INFO  mylog - pool-2-thread-2---下载北京蓝湖永拓科技发展有限公司第一页文档!
17:18:13.133 [pool-2-thread-3] INFO  mylog - pool-2-thread-3---下载北京石洋春农业生态园有限公司第一页文档!
17:18:13.142 [pool-2-thread-2] INFO  mylog - pool-2-thread-2处理企业----北京蓝湖永拓科技发展有限公司成功!
17:18:13.142 [pool-2-thread-2] INFO  mylog - pool-2-thread-2正在处理企业----北京秦霖昌盛商贸有限公司
17:18:13.142 [pool-2-thread-2] INFO  mylog - 爬取的申请人名称---北京秦霖昌盛商贸有限公司
